0.4,0.2,10.07,87.18,0.07410996685240145
0.5,0.2,10.09,86.65,0.07303159912571688
0.6000000000000001,0.2,10.14,85.7,0.07195323139903229
0.2,0.0,91.47,91.21,0.08724561993207888
0.3,0.0,91.12,91.07,0.08185378129865592
0.4,0.0,90.64,91.14,0.07646194266523297
0.5,0.0,88.97,90.95,0.07107010403181002
0.6,0.0,72.94,90.95,0.06567826539838706
0.2,0.05,54.01,90.65,0.08288333893547492
0.3,0.05,51.94,90.85,0.07776109223372313
0.4,0.05,46.06,90.7,0.07263884553197132
0.5,0.05,40.01,90.59,0.06751659883021952
0.6,0.05,21.64,90.42,0.06239435212846771
0.7,0.05,10.24,89.56,0.0572721054267159
0.2,0.1,19.73,90.26,0.07852105793887099
0.3,0.1,20.17,90.22,0.07366840316879034
0.4,0.1,13.8,90.19,0.06881574839870967
0.5,0.1,15.66,90.16,0.06396309362862902
0.6,0.1,13.44,89.39,0.05911043885854836
0.7,0.1,10.94,88.75,0.0542577840884677
